State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
CA,Sonoma County,2011,0.74,0.0969999999999999,0.586,1296.0,62314.0,55.91666666666668,2.7375000000000003,2.0,4.4,14.6,0,0,0,1,1,0,1
CA,Stanislaus County,2011,0.878,0.16,0.471,5766.0,50094.0,59.93333333333333,0.9908333333333332,2.0,3.5,11.8,1,0,0,0,1,0,1
CA,Sutter County,2011,0.7809999999999999,0.17,0.532,8375.0,49146.0,61.274999999999984,1.5141666666666669,3.0,2.9,10.6,0,0,0,0,1,0,1
CA,Tehama County,2011,0.969,0.141,0.482,15286.0,38160.0,57.23333333333334,2.4650000000000003,4.0,4.7,25.3,1,0,0,0,0,0,1
CA,Tulare County,2011,0.703,0.153,0.414,5415.0,44383.0,53.24166666666665,1.495,2.0,4.8,8.5,0,0,0,0,0,1,1
CA,Tuolumne County,2011,0.753,0.126,0.489,3090.0,49151.0,48.49166666666665,3.2433333333333336,4.0,4.2,25.6,0,0,0,0,1,1,1
CA,Ventura County,2011,0.826,0.1,0.593,2380.0,76190.0,56.975,1.3766666666666667,2.0,3.9,12.2,1,0,0,0,1,0,1
CA,Yolo County,2011,0.755,0.1119999999999999,0.633,1221.0,57877.0,60.46666666666666,1.5766666666666664,1.0,3.1,7.9,0,0,1,1,1,0,1
CA,Yuba County,2011,0.659,0.173,0.509,14573.0,46715.0,59.06666666666666,2.8016666666666663,3.0,3.7,15.2,0,0,0,0,0,0,1
CO,Adams County,2011,0.677,0.09,0.524,6226.0,56601.0,49.33333333333332,1.4108333333333334,1.0,3.4,14.6,0,0,0,0,1,1,1
CO,Arapahoe County,2011,0.772,0.077,0.664,1459.0,59320.0,48.94166666666667,1.4349999999999998,1.0,3.2,17.6,0,1,1,1,1,1,1
CO,Boulder County,2011,0.84,0.064,0.7909999999999999,856.0,66760.0,44.37500000000001,1.955,2.0,2.6,17.6,1,1,1,1,1,1,1
CO,Denver County,2011,0.544,0.086,0.652,735.0,46305.0,50.40000000000001,1.4974999999999996,1.0,3.3,15.7,0,0,1,1,0,1,1
CO,Douglas County,2011,0.905,0.066,0.866,3851.0,100493.0,46.975,1.6108333333333331,1.0,2.3,15.7,1,1,1,0,1,1,1
CO,El Paso County,2011,0.818,0.083,0.706,2344.0,59061.0,48.07500000000001,1.2283333333333333,2.0,3.0,17.6,0,0,1,0,1,1,1
CO,Garfield County,2011,0.765,0.073,0.506,4985.0,67063.0,42.61666666666667,2.0325,5.0,3.0,21.4,0,1,0,0,1,1,1
CO,Jefferson County,2011,0.78,0.075,0.701,2083.0,66627.0,45.95,1.6608333333333334,1.0,2.9,18.7,0,1,1,1,1,1,1
CO,Larimer County,2011,0.88,0.066,0.7490000000000001,1558.0,56701.0,41.825,1.9933333333333327,2.0,2.7,17.7,1,1,1,1,1,1,1
CO,Mesa County,2011,0.77,0.088,0.5820000000000001,3461.0,54337.0,46.50833333333333,1.3858333333333333,3.0,3.2,34.0,0,0,0,0,1,1,1
CO,Pueblo County,2011,0.701,0.087,0.601,1814.0,42005.0,52.29166666666668,0.8799999999999999,3.0,3.8,23.2,0,0,0,1,0,1,1
CO,Weld County,2011,0.701,0.087,0.597,4218.0,55845.0,48.55,1.3683333333333332,2.0,2.9,13.9,0,0,0,0,1,1,1
CT,Fairfield County,2011,0.855,0.078,0.688,1469.0,84250.0,52.30833333333334,5.6450000000000005,2.0,2.9,7.4,1,0,1,1,1,1,0
CT,Hartford County,2011,0.787,0.087,0.643,1437.0,64045.0,51.08333333333334,5.572500000000002,1.0,3.1,9.5,0,0,1,1,1,1,0
CT,Litchfield County,2011,0.809,0.0819999999999999,0.644,2549.0,67520.0,48.82500000000001,5.619166666666667,4.0,3.2,12.7,0,0,1,0,1,1,0
CT,Middlesex County,2011,0.8220000000000001,0.069,0.693,1130.0,74645.0,51.78333333333333,4.826666666666667,1.0,3.2,19.3,1,1,1,1,1,1,0
CT,New Haven County,2011,0.78,0.089,0.631,1118.0,61459.0,51.93333333333334,5.0275,2.0,3.3,11.5,0,0,1,1,1,1,0
CT,New London County,2011,0.797,0.077,0.609,2987.0,67484.0,51.45000000000001,4.675,2.0,3.0,12.1,0,1,1,0,1,1,0
CT,Tolland County,2011,0.841,0.069,0.6990000000000001,3844.0,75251.0,50.13333333333333,5.468333333333333,1.0,3.0,7.8,1,1,1,0,1,1,0
CT,Windham County,2011,0.765,0.091,0.512,4888.0,54027.0,50.3,5.28,2.0,3.2,13.5,0,0,0,0,1,1,0
